kommunenummer;gaardsnummer;bruksnummer;festenummer;bruksnavn;gjeldende_jordbruksareal;gjeldende_produktiv_skog;gjeldende_annet_areal;gjeldende_fulldyrket;gjeldende_overflatedyrket;gjeldende_innmarksbeite;lbe_id
"4205";398;8;0;"BUMYRA";0.0;56.0;15.0;0.0;0.0;0.0;"86098"
"4227";155;2;0;"Nedre Omland";6.6;38.0;9.0;5.1;0.0;1.5;"30565"
"4205";404;1;0;"STEINSLAND";45.6;272.1;31.0;15.6;0.0;30.0;"29875"
"4227";44;2;0;"STALLELAND";17.0;137.0;211.0;6.0;0.0;11.0;"96408"
"4205";688;6;0;"GRIMESTAD";0.0;150.0;57.0;0.0;0.0;0.0;"117283"
"4205";689;8;0;"MANNERAAG";23.1;697.0;87.9;1.5;2.7;18.9;"208819"
"5032";52;5;0;"STRÅSJØEN NR.1";41.0;74.0;913.0;0.0;0.0;41.0;"130276"
"5033";169;2;0;"AUNET ØSTRE";177.9;3444.0;5040.0;146.7;0.0;31.2;"184999"
"5033";171;4;0;"ØVLINGLIEN";7.1;371.0;6790.0;0.0;0.0;7.1;"184940"
"5032";69;3;0;"HOVE SØNDRE ØSTRE";211.3;129.0;14.0;168.3;1.0;42.0;"146494"
"4205";404;4;0;"STEINSLAND";28.2;223.5;162.0;17.0;0.0;11.2;"81726"
"5032";69;1;0;"HOVE SØNDRE VESTRE";105.0;92.0;16.0;93.0;7.0;5.0;"51546"
"5033";171;1;0;"BERGET";54.3;0.0;343.0;47.8;0.0;6.5;"206907"
"5032";69;2;0;"HOVE SØNDRE";135.4;285.0;69.0;118.4;0.0;17.0;"185052"
"4224";13;4;0;"AAKERNES";55.0;1075.0;1991.2;32.4;0.0;22.6;"142036"
"5032";72;1;0;"HOEM ØVRE";158.8;262.0;4728.0;90.3;7.5;61.0;"144484"
"4224";1;6;0;"AASLAND";55.6;373.0;2919.0;46.8;0.0;8.8;"195449"
"5032";68;1;0;"HOVE NORDRE";125.0;150.0;50.0;119.0;0.0;6.0;"138173"
"3447";18;42;0;"Sedal-Jord";15.0;3.7;0.1;15.0;0.0;0.0;"12291"
"4224";13;2;0;"AAKERNES";28.0;1744.9;2296.0;22.8;0.0;5.2;"81045"
"1122";55;8;0;"FRAFJORD";69.1;0.6;9.0;67.5;0.0;1.6;"146709"
"1122";55;9;0;"FRAFJORD";96.1;52.4;18.0;40.9;10.3;44.9;"99397"
"4205";346;1;0;"KVAAFJORD";2.9;0.0;52.7;0.0;0.0;2.9;"29787"
"1122";55;13;0;"FRAFJORD";39.1;9.1;15.0;33.5;0.0;5.6;"185791"
"5059";704;7;0;"SELVEN";141.6;119.9;1520.0;136.8;0.0;4.8;"48518"
"5032";77;1;0;"RØSSET NORDRE";257.4;638.0;3292.0;238.2;9.0;10.2;"153376"
"4225";141;6;0;"TJERSLAND";56.0;392.0;348.0;18.0;1.0;37.0;"30161"
"1122";56;3;0;"KOMMEDAL";104.2;191.0;168.0;67.5;20.1;16.6;"185792"
"4224";1;3;0;"AASELAND";62.3;368.0;1340.0;58.9;0.0;3.4;"157331"
"5031";8;6;0;"MALVIK VESTRE B";4.0;8.0;6.0;4.0;0.0;0.0;"51407"
"5032";78;1;0;"RØSSET ØSTRE";140.0;209.0;6071.0;127.4;9.4;3.2;"80032"
"1122";55;5;0;"FRAFJORD";20.7;2.4;74.0;20.7;0.0;0.0;"185789"
"1122";60;5;0;;0.0;0.0;0.0;0.0;0.0;0.0;"185729"
"1122";55;4;0;"FRAFJORD";0.0;0.0;13.0;0.0;0.0;0.0;"185788"
"1122";60;1;0;"EIKESKOG";148.0;195.0;12347.0;38.0;0.0;110.0;"132181"
