ID;KOMNR;GARDSNR;BRUKSNR;FESTENR;BRUKSNAVN;JORDBRUKSAREAL;ANNETAREAL;SKOGAREAL;FULLDYRKET;OVERFLATEDYRKET;INNMARKSBEITE
"235160";"5501";141;2;0;"SKOGNES";0.0;81.3;41.3;0.0;0.0;0.0
"139000";"3420";101;7;0;"BAKSTAD";1.3;11.9;7.3;0.9;0.0;0.4
"211060";"3420";101;9;0;"BERG";3.8;4.5;34.8;3.8;0.0;0.0
"102440";"3420";101;10;0;"MYRVOLD";5.0;8.3;14.7;2.4;0.0;2.6
"135315";"4627";19;34;0;"NYTUN";3.0;58.0;0.0;3.0;0.0;0.0
"77462";"3420";101;11;0;"NORDBERG";0.0;9.3;18.1;0.0;0.0;0.0
"211670";"5607";13;8;0;"M0011";1.7;13.0;0.0;0.0;1.6;0.1
"214079";"3122";37;23;0;"KJENSHAUG";0.0;1.7;0.1;0.0;0.0;0.0
"214082";"3103";3;2002;0;;0.0;2.4;0.0;0.0;0.0;0.0
"214084";"3120";231;54;0;"SKRENTEN";0.0;1.2;0.0;0.0;0.0;0.0
"214085";"3107";85;17;0;"RØSHEIM";0.0;6.7;3.4;0.0;0.0;0.0
"214088";"3205";227;11;0;"FREDBO";0.0;1.0;0.0;0.0;0.0;0.0
"214089";"3209";119;11;0;"PERSBRÅTEN";0.0;1.5;0.7;0.0;0.0;0.0
"214092";"3207";132;177;0;"PARSELL NR.1";0.0;0.6;0.0;0.0;0.0;0.0
"214094";"3232";9;34;0;"BAKKELI";0.0;1.4;0.8;0.0;0.0;0.0
"214096";"3107";118;36;0;"SJØSTUA";0.0;8.7;0.0;0.0;0.0;0.0
"215126";"5628";7;8;0;"M22/016       MAGENG";45.8;11.6;0.0;36.7;0.0;9.1
"9567";"3420";101;17;0;"LIE";28.5;5.6;20.4;28.5;0.0;0.0
"77463";"3420";101;18;0;"BÆKKEVOLD";5.7;2.9;14.4;1.8;2.8;1.1
"128245";"4626";33;11;0;"KOLLTVEIT";7.2;6.4;4.1;6.4;0.0;0.8
