orgnr;komnr;bygg_for_kg;bygg_sakorn_kg;erter_for_kg;erter_sakorn_kg;havre_for_kg;havre_sakorn_kg;hvete_for_kg;hvete_mat_kg;hvete_sakorn_kg;oljefro_kg;oljefro_sakorn_kg;rug_for_kg;rug_mat_kg;rug_sakorn_kg;rughvete_for_kg;rughvete_sakorn_kg
825527362;3442;97613;0;0;0;9244;0;0;0;0;0;0;0;0;0;0;0
826067012;5059;18006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
826113782;5006;117318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
826117702;3014;71746;0;0;0;7571;0;0;0;0;0;0;0;0;0;0;0
826289112;3013;0;0;0;0;74255;0;0;21379;0;0;0;0;0;0;0;0
826342382;3801;29760;0;0;0;6339;0;42032;0;0;0;0;0;0;0;0;0
826424052;3305;0;0;0;0;0;0;14672;33948;0;0;0;0;0;0;0;0
826457082;5028;147900;0;0;0;44068;0;0;0;0;0;0;0;0;0;0;0
826499842;3047;0;0;0;0;30355;0;0;0;0;0;0;0;0;0;0;0
826709162;3905;18461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
826841192;3003;0;0;0;0;15744;0;38882;0;0;0;0;0;0;0;0;0
827170062;3303;0;0;0;0;30529;0;0;0;0;0;0;0;0;0;0;0
827530042;3228;214656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827696412;5001;16736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
827821802;3001;0;0;0;0;0;0;7753;0;0;0;0;0;0;0;0;0
827965812;5054;17490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
828050532;3403;54586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
828157582;5006;92900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
828523902;3802;60067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
828580272;3419;192031;0;0;0;458962;0;0;0;0;0;0;0;0;0;0;0
828834282;3416;0;0;0;0;25526;0;0;0;0;0;0;0;0;0;0;0
829021382;5058;5174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
829220342;3025;0;0;0;0;12444;0;0;0;0;0;0;0;0;0;0;0
829231522;3005;0;0;0;0;0;0;39531;0;0;0;0;0;0;0;3398;0
829321882;3034;0;0;0;0;1601;0;0;0;0;0;0;0;0;0;0;0
829450852;5035;70837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
