orgnr;komnr;hvete_mat;hvete_for;hvete_sakorn;rug_mat;rug_for;rug_sakorn;bygg;bygg_sakorn;havre;havre_sakorn;rughvete;rughvete_sakorn;erter;erter_sakorn;oljefro;oljefro_sakorn
915734340;3413;0;0;0;0;0;0;0;0;62241;0;0;0;0;0;0;0
915773710;3452;0;0;0;0;0;0;2880;0;0;0;0;0;0;0;0;0
915814409;3909;0;0;0;0;0;0;28093;0;0;0;0;0;0;0;0;0
915886728;4018;24951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
916005369;3418;0;42905;0;0;0;0;64080;0;156230;0;0;0;0;0;0;0
916017774;3118;12378;63089;0;0;0;0;69968;0;33023;0;0;0;0;0;0;0
916126697;3228;0;0;0;0;0;0;5079;0;0;0;0;0;0;0;0;0
916281412;5037;0;0;0;0;0;0;2572;0;0;0;0;0;0;0;0;0
916329717;3442;0;0;0;0;0;0;0;0;0;22743;0;0;0;0;0;0
916369433;3418;0;0;0;0;0;0;157544;0;57448;0;0;0;0;0;0;0
916459998;3443;0;0;0;0;0;0;48693;0;0;0;0;0;0;0;0;0
916469853;3411;0;66330;0;0;0;0;185865;0;0;0;0;0;0;0;0;0
916500092;1119;0;0;0;0;0;0;12881;0;0;0;0;0;0;0;0;0
916517262;5035;0;36897;0;0;0;0;54606;0;118872;0;0;0;0;0;0;0
916521014;3238;0;116164;0;0;0;0;0;0;80947;0;0;0;0;0;0;0
916521960;3316;0;0;0;0;0;0;26604;0;54128;0;0;0;0;0;0;0
916534094;1120;0;0;0;0;0;0;102565;0;0;0;0;0;0;0;0;0
916570368;3107;0;0;0;0;0;0;46470;0;0;0;0;0;0;0;0;0
916577869;3101;0;0;0;0;0;0;39338;0;13019;0;0;0;6824;0;0;0
916585039;5053;0;0;0;0;0;0;445606;0;200360;0;0;0;0;0;36987;0
916671520;3238;0;84551;0;0;0;0;105609;0;47719;0;0;0;27000;0;0;0
916673051;3411;0;66482;0;0;0;0;83796;0;0;0;0;0;0;0;0;0
916764227;3101;45906;20250;0;0;0;0;0;0;0;0;0;0;0;0;0;0
916913885;3107;0;0;0;0;0;0;13525;0;0;0;0;0;0;0;0;0
917070458;3310;0;0;0;0;0;0;12399;0;23796;0;0;0;0;0;0;0
917131716;3118;0;0;0;0;0;0;124270;0;0;0;0;0;0;0;0;0
917214948;3416;0;0;0;0;0;0;0;0;8386;0;0;0;0;0;0;0
917369062;3903;0;0;0;0;0;0;4131;0;0;0;0;0;0;0;0;0
917469199;3413;0;67846;0;0;0;0;95650;0;0;0;0;0;0;0;0;0
917505411;3101;0;0;0;0;0;0;0;0;24944;0;0;0;0;0;0;0
917925933;5037;0;0;0;0;0;0;33892;0;0;0;0;0;0;0;0;0
918060049;3122;141679;45475;0;0;0;0;111423;0;122059;0;31673;0;0;0;0;0
918087699;3403;0;12640;0;0;0;0;39042;0;0;0;0;0;0;0;0;0
918159630;3403;22533;22554;0;0;0;0;296125;0;55134;0;0;0;0;0;0;0
918172491;5037;0;0;0;0;0;0;8160;60396;0;0;0;0;0;0;0;0
918352937;3218;0;0;0;0;0;0;84993;0;0;0;0;0;0;0;0;0
918355529;3316;0;0;0;0;0;0;0;0;71100;0;0;0;0;0;0;0
918357424;5006;0;0;0;0;0;0;162901;0;81605;0;0;0;0;0;0;0
918357718;5053;2735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
918364811;3422;0;0;0;0;0;0;18831;0;0;0;0;0;0;0;0;0
918365885;5031;0;0;0;0;0;0;99650;0;0;0;0;0;0;0;0;0
918397752;3903;0;78528;0;0;0;0;0;0;0;0;0;0;0;0;0;0
918492011;5037;0;94330;0;0;0;0;18457;0;0;0;0;0;0;0;0;0
918542159;3403;0;0;0;0;0;0;99293;0;0;0;0;0;0;0;0;0
918689044;3413;0;49399;0;0;0;0;127050;0;0;0;0;0;0;0;0;0
918710493;3907;0;48968;0;0;0;0;53490;0;0;0;0;0;0;0;0;0
918733108;5006;0;0;0;0;0;0;246043;0;59873;0;0;0;0;0;0;0
919092645;3446;0;0;0;0;0;0;38277;0;0;0;0;0;10808;0;0;0
